longitude;latitude
-1000;-1000
43.99;68.55
43.94;68.56
43.81;68.59
43.78;68.6
43.74;68.61
43.73;68.62
43.72;68.62
43.64;68.63
43.61;68.63
43.59;68.65
43.57;68.65
43.54;68.66
43.48;68.66
43.46;68.67
43.43;68.67
43.42;68.68
43.28;68.67
43.25;68.66
43.26;68.65
43.37;68.6
43.4;68.59
43.49;68.55
43.62;68.51
43.72;68.48
43.79;68.46
43.82;68.44
43.86;68.44
43.94;68.41
43.98;68.4
-1000;-1000
43.92;67.5
43.8;67.34
43.81;67.34
43.8;67.34
43.78;67.29
43.76;67.26
43.77;67.21
43.78;67.19
43.84;67.17
43.91;67.15
43.91;67.15
43.9;67.16
43.94;67.16
-1000;-1000
43.96;66.1
43.93;66.12
43.92;66.14
43.91;66.15
43.9;66.16
43.88;66.17
43.89;66.18
43.84;66.19
43.83;66.19
43.76;66.19
43.76;66.18
43.75;66.18
43.72;66.19
43.71;66.19
43.67;66.18
43.66;66.17
43.64;66.16
43.51;66.15
43.46;66.14
43.39;66.1
43.39;66.08
43.39;66.07
43.38;66.07
43.38;66.07
43.31;66.07
43.28;66.09
43.29;66.09
43.29;66.09
43.26;66.09
43.26;66.1
43.26;66.09
43.28;66.09
43.28;66.1
43.29;66.09
43.31;66.1
43.35;66.1
43.37;66.1
43.39;66.12
43.4;66.13
43.42;66.14
43.46;66.15
43.46;66.17
43.46;66.17
43.49;66.18
43.54;66.2
43.58;66.2
43.59;66.2
43.61;66.21
43.61;66.22
43.62;66.21
43.62;66.23
43.63;66.22
43.65;66.23
43.66;66.23
43.68;66.24
43.65;66.26
43.62;66.28
43.6;66.29
43.56;66.3
43.54;66.3
43.53;66.3
43.53;66.3
43.54;66.3
43.54;66.31
43.41;66.33
43.36;66.33
43.33;66.37
43.29;66.4
43.27;66.41
43.21;66.42
43.16;66.42
42.98;66.4
42.87;66.39
42.77;66.39
42.68;66.4
42.65;66.4
42.6;66.4
42.58;66.39
42.52;66.38
42.52;66.38
42.57;66.39
42.58;66.4
42.58;66.41
42.62;66.4
42.64;66.41
42.64;66.42
42.61;66.44
42.58;66.45
42.48;66.46
42.35;66.5
42.29;66.51
42.27;66.52
42.25;66.52
42.25;66.52
42.19;66.51
42.21;66.52
42.17;66.51
42.15;66.5
42.15;66.5
42.13;66.5
42.12;66.49
42.11;66.5
42.12;66.5
42.11;66.5
42.09;66.47
42.06;66.46
42.03;66.44
42.03;66.43
41.99;66.39
41.99;66.37
41.97;66.36
41.97;66.35
41.96;66.35
42;66.35
42.01;66.34
42.01;66.33
42;66.33
41.98;66.34
41.97;66.34
41.97;66.34
41.97;66.34
41.94;66.34
41.93;66.34
41.93;66.34
41.93;66.34
41.87;66.33
41.8;66.27
41.74;66.22
41.71;66.21
41.7;66.21
41.7;66.21
41.69;66.21
41.64;66.18
41.64;66.18
41.61;66.17
41.59;66.16
41.59;66.16
41.57;66.15
41.56;66.14
41.55;66.13
41.55;66.14
41.55;66.13
41.52;66.12
41.37;66.07
41.32;66.06
41.27;66.05
41.26;66.04
41.25;66.05
41.15;66.03
41.1;66.02
41;66.01
40.93;66
40.92;66
40.79;65.99
40.74;65.98
40.65;65.94
40.61;65.91
40.58;65.89
40.55;65.86
40.51;65.82
40.48;65.81
40.41;65.78
40.42;65.77
40.43;65.78
40.43;65.77
40.41;65.77
40.4;65.78
40.36;65.77
40.27;65.74
40.19;65.7
40.19;65.7
40.19;65.7
40.17;65.69
40.07;65.67
40.01;65.65
39.96;65.65
39.93;65.64
39.91;65.64
39.89;65.63
39.86;65.62
39.82;65.6
39.8;65.59
39.76;65.56
39.72;65.5
39.7;65.47
39.71;65.38
39.72;65.37
39.72;65.34
39.74;65.33
39.79;65.3
39.84;65.28
39.85;65.27
39.86;65.26
39.88;65.26
39.89;65.24
39.91;65.23
39.92;65.22
39.93;65.22
39.95;65.19
40.01;65.17
40.03;65.15
40.04;65.12
40.05;65.1
40.08;65.09
40.08;65.09
40.12;65.07
40.15;65.06
40.18;65.01
40.19;65.01
40.18;65.02
40.17;65.03
40.16;65.04
40.17;65.05
40.23;65.03
40.3;65.01
40.3;65
40.28;64.99
40.27;64.98
40.27;64.96
40.29;64.96
40.3;64.95
40.28;64.94
40.26;64.94
40.25;64.94
40.24;64.96
40.23;64.96
40.2;64.98
40.2;64.98
40.19;64.98
40.2;64.96
40.21;64.94
40.22;64.9
40.23;64.89
40.24;64.87
40.26;64.86
40.27;64.86
40.28;64.88
40.31;64.88
40.3;64.88
40.28;64.9
40.29;64.91
40.28;64.92
40.29;64.93
40.31;64.92
40.32;64.92
40.33;64.91
40.36;64.92
40.36;64.93
40.39;64.93
40.4;64.92
40.4;64.91
40.39;64.9
40.39;64.89
40.41;64.86
40.41;64.85
40.39;64.82
40.37;64.82
40.36;64.81
40.39;64.8
40.41;64.79
40.45;64.78
40.48;64.77
40.51;64.75
40.52;64.72
40.54;64.7
40.57;64.71
40.59;64.71
40.64;64.69
40.67;64.68
40.67;64.67
40.65;64.65
40.65;64.64
40.62;64.62
40.62;64.61
40.59;64.58
40.53;64.56
40.51;64.54
40.51;64.54
40.52;64.53
40.46;64.51
40.4;64.52
40.37;64.53
40.35;64.54
40.32;64.55
40.3;64.55
40.26;64.55
40.2;64.54
40.14;64.55
40.12;64.56
40.11;64.57
40.1;64.58
40.1;64.6
40.09;64.61
40.04;64.62
40.01;64.62
39.99;64.63
39.97;64.63
39.95;64.62
39.91;64.63
39.86;64.65
39.84;64.65
39.83;64.65
39.83;64.65
39.81;64.61
39.8;64.6
39.78;64.59
39.77;64.57
39.74;64.57
39.72;64.56
39.69;64.56
39.6;64.54
39.53;64.55
39.51;64.55
39.48;64.57
39.45;64.58
39.37;64.6
39.32;64.63
39.28;64.64
39.2;64.65
39.14;64.66
39.08;64.68
39.03;64.7
39.01;64.7
39;64.7
39;64.71
38.9;64.73
38.85;64.74
38.74;64.75
38.63;64.76
38.56;64.77
38.49;64.79
38.43;64.81
38.4;64.8
38.4;64.8
38.41;64.79
38.42;64.78
38.43;64.77
38.44;64.77
38.45;64.76
38.46;64.76
38.46;64.76
38.47;64.76
38.48;64.75
38.49;64.75
38.49;64.74
38.48;64.73
38.47;64.74
38.47;64.73
38.44;64.73
38.44;64.74
38.42;64.74
38.41;64.74
38.37;64.74
38.3;64.73
38.27;64.73
38.25;64.72
38.22;64.71
38.2;64.71
38.15;64.71
38.13;64.69
38.14;64.67
38.15;64.66
38.14;64.65
38.14;64.65
38.14;64.65
38.12;64.65
38.09;64.65
38.06;64.64
38.05;64.63
38.05;64.62
38.04;64.62
38.05;64.61
38.04;64.61
38.05;64.6
38.04;64.6
38.04;64.59
38;64.58
38;64.59
38;64.59
37.98;64.59
37.99;64.6
37.99;64.6
37.99;64.61
37.99;64.61
38;64.62
38.02;64.62
38.04;64.63
38.04;64.64
38.06;64.64
38.07;64.65
38.09;64.66
38.12;64.67
38.07;64.7
38.07;64.71
38.03;64.72
38.01;64.72
37.99;64.73
38;64.75
38.02;64.76
38.03;64.76
38.04;64.77
38.05;64.77
38.05;64.77
38.07;64.77
38.08;64.78
38.09;64.78
38.12;64.78
38.15;64.79
38.19;64.78
38.19;64.78
38.2;64.78
38.21;64.77
38.25;64.79
38.27;64.79
38.28;64.8
38.29;64.8
38.3;64.8
