depth;datetime;value
1.9;34834.8326967593;6.71
6.7;34834.8328935185;6.72
11.6;34834.8330555556;6.72
16;34834.8332175926;6.72
21.3;34834.8333796296;6.72
31.7;34834.8337615741;6.85
42;34834.8340856481;6.94
52.1;34834.8343055556;6.95
61.9;34834.8343055556;6.98
71.8;34834.8343055556;7.23
82.5;34834.8343055556;8.21
103.3;34834.8343055556;9.03
129;34834.8343055556;9.5
154.2;34834.8343055556;9.66
179.1;34834.8343055556;9.69
204.2;34834.8343055556;9.71
305.1;34834.8343055556;9.73
406.7;34834.8343055556;9.75
428.9;34834.8343055556;9.76
50.23;35013.697962963;6.7796
60.249;35013.6982638889;7.347
70.196;35013.6985416667;7.8113
80.206;35013.6988425926;8.1691
100.169;35013.6994675926;9.3097
125.339;35013.7002546296;9.6611
150.231;35013.7010185185;9.7961
175.312;35013.7018055556;9.8562
200.205;35013.7025578704;9.9249
300.219;35013.7056018518;10.0516
400.268;35013.7086458333;10.1291
444.408;35013.7100347222;10.1353
2.015;35013.7374768518;6.5902
5.228;35013.7375578704;6.5905
10.221;35013.7376967593;6.5905
15.283;35013.7378587963;6.5951
20.232;35013.7379976852;6.6301
30.194;35013.7382986111;6.6651
40.209;35013.738599537;6.6695
60.506;35119.7469675926;6.811
70.542;35119.747349537;6.8196
80.494;35119.7477199074;8.6063
100.548;35119.7484606481;9.3569
125.513;35119.7494097222;9.5728
150.505;35119.7503356481;9.6675
175.481;35119.7512268519;9.7226
300.528;35119.7542476852;10.0122
400.495;35119.7564236111;10.0316
436.599;35119.7574305556;10.0339
5.508;35119.7813078704;6.7337
10.511;35119.7814814815;6.7368
15.556;35119.7816666667;6.7898
20.492;35119.7818518519;6.7944
30.517;35119.7822106481;6.7954
40.481;35119.7825578704;6.7981
50.518;35119.7829166667;6.8061
1.545;35119.7847337963;6.7342
39.99;35153.3485648148;6.8015
49.871;35153.3489699074;6.861
60.04;35153.3493287037;7.0158
70.062;35153.3497106481;7.7001
80.156;35153.3500578704;8.9084
100.203;35153.3507986111;9.3479
124.926;35153.3513657407;9.4888
150.096;35153.3519097222;9.6586
174.879;35153.3524305556;9.7555
199.88;35153.352962963;9.807
299.959;35153.3550925926;9.972
399.81;35153.3571875;10.0262
436.318;35153.3584375;10.0308
2.086;35153.3815046296;6.3641
4.934;35153.3816435185;6.3641
9.939;35153.3818055556;6.3641
14.932;35153.3819907407;6.3643
20.137;35153.3821759259;6.3668
29.94;35153.3825347222;6.6923
50.16;35287.2668287037;6.961
100.24;35287.2668287037;9.55
125.23;35287.2668287037;9.881
150.13;35287.2668287037;9.959
200.15;35287.2668287037;10.017
300.19;35287.2668287037;10.055
400.29;35287.2668287037;10.07
60.2;35287.2687615741;7.684
70.12;35287.2690625;8.407
80.13;35287.2693518518;9.015
175.13;35287.2721527778;10.001
436.03;35287.2794907407;10.082
0.92;35287.3069907407;5.984
5.21;35287.3071296296;5.985
10.15;35287.3072685185;5.999
