depth;datetime;value
1.854;34705.320150463;5.06064
2;34705.3201736111;5.05906
3;34705.3201967593;5.06927
4;34705.3202314815;5.06448
5;34705.3202546296;5.05366
6;34705.3203009259;5.04316
7;34705.3203125;5.04224
8;34705.3203356481;5.0401
9;34705.3203819444;5.03758
10;34705.3203935185;5.04433
11;34705.3204398148;5.05163
12;34705.320462963;5.05327
13;34705.3204976852;5.05423
14;34705.3205208333;5.0545
15;34705.3205439815;5.0545
16;34705.3205787037;5.05846
17;34705.3206018519;5.05673
18;34705.3206365741;5.05951
19;34705.3206597222;5.05001
20;34705.3206828704;5.04963
21;34705.3207175926;5.04835
22;34705.3207407407;5.0502
23;34705.3207638889;5.05586
24;34705.3207986111;5.06002
25;34705.3208217593;5.06315
26;34705.3208449074;5.07192
27;34705.3208796296;5.05444
28;34705.3209027778;5.0543
29;34705.3209375;5.06919
30;34705.3209606481;5.0696
31;34705.3209837963;5.07705
32;34705.3210185185;5.07806
33;34705.3210416667;5.09403
34;34705.3210648148;5.12015
35;34705.321099537;5.12953
36;34705.3211226852;5.13458
37;34705.3211689815;5.15307
38;34705.3211805556;5.16823
39;34705.3212037037;5.18202
40;34705.3212384259;5.19481
41;34705.3212615741;5.24577
42;34705.3213078704;5.32254
43;34705.3213194444;5.36248
44;34705.3213657407;5.40354
45;34705.3213888889;5.48523
46;34705.321400463;5.53916
47;34705.3214467593;5.55382
48;34705.3214699074;5.59977
49;34705.3215046296;5.6153
50;34705.3215277778;5.63661
51;34705.3215625;5.70612
52;34705.3215856481;5.78686
53;34705.3216087963;5.92687
54;34705.3216435185;6.68234
55;34705.3216666667;7.48761
56;34705.3216898148;7.75775
57;34705.321724537;7.9701
58;34705.3217476852;8.10088
59;34705.3217708333;8.06365
60;34705.3218055556;7.93854
61;34705.3218287037;8.27195
62;34705.3218518519;8.40587
63;34705.3218865741;8.29543
64;34705.3219097222;8.08314
65;34705.3219328704;7.85842
66;34705.3219675926;7.68749
67;34705.3219907407;7.68123
68;34705.322025463;7.48637
69;34705.3220486111;7.30024
70;34705.3220949074;7.18309
71;34705.3221064815;7.09733
72;34705.3221296296;7.04224
73;34705.3221759259;6.92276
74;34705.3221875;6.81057
75;34705.3222337963;6.63828
76;34705.3222569444;6.32305
77;34705.3222685185;5.93447
78;34705.3223148148;5.01458
79;34705.322337963;4.49602
80;34705.3223726852;4.51984
81;34705.3223958333;4.53556
82;34705.3224305556;4.55084
83;34705.3224537037;4.56403
84;34705.3224768518;4.57552
85;34705.3225115741;4.58631
86;34705.3225347222;4.58604
87;34705.3225578704;4.59234
88;34705.3225925926;4.60229
88.993;34705.3226157407;4.69965
0.832;34706.2544907407;4.9116
1;34706.2545138889;4.91307
2;34706.254525463;4.9128
3;34706.2545486111;4.92567
4;34706.2545949074;4.917
5;34706.2546064815;4.90762
6;34706.2546296296;4.90615
7;34706.2546759259;4.91228
8;34706.2546875;4.9156
9;34706.2547106482;4.91604
10;34706.2547569444;4.91759
11;34706.2547685185;4.92234
12;34706.2547916667;4.91678
13;34706.2548148148;4.91489
14;34706.254849537;4.91928
15;34706.2548726852;4.92224
16;34706.2548958333;4.91894
17;34706.2549305556;4.9432
18;34706.2549537037;4.9454
19;34706.2549768519;4.9454
20;34706.2550115741;4.94748
21;34706.2550347222;4.95254
22;34706.2550578704;4.95884
23;34706.2550925926;4.983
24;34706.2551157407;5.01461
25;34706.2551388889;5.02851
26;34706.2551736111;5.05273
27;34706.2551967593;5.0725
28;34706.2552199074;5.0573
29;34706.2552546296;5.04145
30;34706.2552777778;5.03284
31;34706.2553125;5.02216
32;34706.2553356482;5.02373
33;34706.2553587963;5.04631
34;34706.2553935185;5.10579
35;34706.2554166667;5.16145
36;34706.2554398148;5.19459
37;34706.255474537;5.21204
38;34706.2554976852;5.23154
39;34706.2555208333;5.25388
40;34706.2555555556;5.30264
41;34706.2555787037;5.40066
42;34706.2556018519;5.53563
43;34706.2556365741;5.65848
44;34706.2556597222;5.69025
45;34706.2556828704;5.6897
46;34706.2556944444;5.69389
47;34706.2557407407;5.71473
48;34706.2557638889;5.6746
49;34706.255775463;5.68991
50;34706.2558217593;5.708
51;34706.2558449074;5.69685
52;34706.2558564815;5.92103
53;34706.2559027778;6.43813
54;34706.2559259259;7.37744
55;34706.2559375;7.76353
56;34706.2559606481;7.83629
57;34706.2560069444;7.97296
58;34706.2560185185;8.03264
59;34706.2560416667;8.06659
60;34706.256087963;8.00618
61;34706.256099537;8.14799
62;34706.2561226852;8.133
63;34706.2561689815;7.99676
64;34706.2561805556;7.74585
65;34706.2562037037;7.64071
66;34706.25625;7.57654
67;34706.2562615741;7.48963
68;34706.2562847222;7.27378
69;34706.2563078704;7.12506
70;34706.2563425926;6.99675
71;34706.2563657407;6.80633
72;34706.2563888889;6.65516
73;34706.2564236111;6.58026
74;34706.2564467593;6.51116
75;34706.2564699074;6.39115
76;34706.2565046296;6.32743
77;34706.2565277778;6.35809
78;34706.2565625;6.5189
79;34706.2565856481;6.07069
80;34706.2566087963;5.53391
81;34706.2566435185;5.02557
82;34706.2566666667;5.04852
83;34706.2566898148;5.03547
84;34706.256724537;5.01798
85;34706.2567476852;4.99909
86;34706.2567708333;4.97927
87;34706.2568055556;4.9729
88;34706.2568287037;4.96036
88.974;34706.2568518519;4.97305
3.221;34741.0476736111;3.3703
3.933;34741.0477546296;3.3696
5.021;34741.0477777778;3.3682
6.008;34741.0478125;3.3641
7.039;34741.0478356481;3.3627
8.052;34741.0478819444;3.3624
9.004;34741.0479166667;3.3626
9.987;34741.0479398148;3.3632
11.112;34741.047974537;3.3636
11.927;34741.0479976852;3.3636
13.022;34741.0480439815;3.3627
14.019;34741.0480555556;3.3627
14.865;34741.0481018519;3.3634
16.015;34741.0481365741;3.3651
17.127;34741.0481597222;3.3662
17.884;34741.0481828704;3.3666
19.035;34741.0482175926;3.3688
19.914;34741.0482407407;3.3711
21.058;34741.0482986111;3.3716
21.904;34741.0482986111;3.3714
22.954;34741.0483449074;3.3733
23.994;34741.0483796296;3.3832
25.023;34741.0484027778;3.3919
26.048;34741.0484375;3.3942
27.005;34741.0484606481;3.396
27.872;34741.0484837963;3.4138
29.04;34741.0485416667;3.4283
30.017;34741.0485648148;3.439
31.029;34741.048599537;3.4433
31.993;34741.0486226852;3.4569
33.02;34741.0486689815;3.4721
34.005;34741.0486805556;3.4875
34.91;34741.0487037037;3.4965
35.959;34741.0487615741;3.5024
36.964;34741.0487847222;3.5079
37.972;34741.0488078704;3.522
38.931;34741.0488425926;3.5275
40.006;34741.0488657407;3.5338
41.108;34741.048900463;3.5417
41.999;34741.0489236111;3.5572
43.033;34741.0489699074;3.5632
43.996;34741.0489814815;3.5732
45.169;34741.0490277778;3.5898
45.919;34741.0490509259;3.6085
47.128;34741.0490856481;3.9975
47.965;34741.0491087963;4.7135
49.101;34741.0491435185;5.8391
49.848;34741.0491666667;6.4164
51.165;34741.049212963;7.038
52.043;34741.049224537;7.1951
53.191;34741.0492708333;7.4735
53.951;34741.0492939815;7.4735
55.288;34741.0493287037;7.4748
55.981;34741.0493518518;7.4748
56.76;34741.049375;7.4751
57.968;34741.0494097222;7.4812
58.788;34741.0494328704;7.4815
60.02;34741.0494675926;7.4731
60.955;34741.0494907407;7.4431
62.187;34741.049525463;7.1641
63.138;34741.0495486111;7.1213
64.007;34741.0495717593;7.098
64.899;34741.0495949074;7.0778
65.985;34741.0496296296;7.0169
66.997;34741.0496759259;7.0284
68.003;34741.0497106481;7.0522
69.014;34741.0497337963;7.0549
69.981;34741.0497569444;7.0544
71.223;34741.0497916667;6.612
72.001;34741.0498148148;6.5187
72.976;34741.049849537;6.4922
73.988;34741.0498726852;6.4742
75.034;34741.0498958333;6.4126
76.005;34741.0499305556;6.2998
77.032;34741.0499537037;6.1616
78.022;34741.0499768518;6.075
78.873;34741.0500115741;5.9337
80.144;34741.0500578704;5.8461
81.027;34741.0500694444;5.6919
82.114;34741.0501157407;5.4361
82.91;34741.0501157407;5.4196
84.06;34741.0501736111;5.3593
84.984;34741.0501967593;5.3546
85.989;34741.0502314815;5.3479
87.028;34741.0502546296;5.3475
88.006;34741.0503356481;5.3475
74.204;34741.0684027778;6.1573
75.078;34741.0684259259;6.3102
75.909;34741.0684375;6.2873
77.005;34741.0684606481;6.112
78.082;34741.0684837963;5.9935
78.936;34741.0685069444;5.9176
80.005;34741.0685185185;5.7937
81.071;34741.0685416667;5.4705
81.98;34741.0685648148;5.4458
83.031;34741.068599537;5.4308
84.021;34741.0686458333;5.4083
85.009;34741.0686689815;5.388
85.954;34741.0686805556;5.3871
86.953;34741.0687268519;5.3866
87.682;34741.0687268519;5.3859
1.837;34790.2096296296;3.50801
2;34790.2096527778;3.50938
3;34790.2096875;3.50652
4;34790.2097337963;3.50769
5;34790.2097685185;3.50772
6;34790.2097916667;3.51093
7;34790.209837963;3.5111
8;34790.2098726852;3.50955
9;34790.2098958333;3.5097
10;34790.2099537037;3.50954
11;34790.2099768519;3.50954
12;34790.2100115741;3.50791
13;34790.2100578704;3.50798
14;34790.2100925926;3.50686
15;34790.2101157407;3.505
16;34790.210150463;3.5029
17;34790.2101967593;3.50336
18;34790.2102314815;3.50341
19;34790.2102777778;3.50341
20;34790.2103125;3.50341
21;34790.2103356481;3.50311
22;34790.2103819444;3.50188
23;34790.2104166667;3.50013
24;34790.2104398148;3.49939
25;34790.210474537;3.49723
26;34790.2105208333;3.49575
27;34790.2105555556;3.49575
28;34790.2106018519;3.49367
29;34790.2106365741;3.49269
30;34790.2106597222;3.49269
31;34790.2106944444;3.49269
32;34790.2107407407;3.49234
33;34790.2107638889;3.49104
34;34790.2107986111;3.49101
35;34790.2108449074;3.48991
36;34790.2108796296;3.48919
37;34790.2109259259;3.48279
38;34790.2109606481;3.47675
39;34790.2109837963;3.46584
40;34790.2110185185;3.45595
41;34790.2110648148;3.44538
42;34790.211099537;3.43528
43;34790.2111226852;3.4278
44;34790.2111805556;3.40745
45;34790.2112037037;3.40106
46;34790.2112384259;3.39969
47;34790.2112847222;3.39926
48;34790.2113078704;3.40314
49;34790.2113425926;3.41302
50;34790.2113888889;3.42084
51;34790.2114236111;3.44896
52;34790.2114699074;3.58231
53;34790.2115046296;4.50708
54;34790.2115277778;5.09115
55;34790.2115625;5.49161
56;34790.2116087963;5.88989
57;34790.2116435185;6.53406
58;34790.2116666667;6.69496
59;34790.211712963;6.74628
60;34790.2117476852;6.81361
61;34790.2117939815;6.96917
62;34790.2118287037;6.98252
63;34790.2118518519;6.92491
64;34790.2118865741;6.82056
65;34790.2119328704;6.76991
66;34790.2119675926;6.73214
67;34790.2119907407;6.67183
68;34790.212025463;6.42649
69;34790.2120717593;6.37797
70;34790.2121064815;6.33634
71;34790.2121527778;6.29255
72;34790.2121875;6.22748
73;34790.2122106481;5.96832
74;34790.2122569444;6.05915
75;34790.2122916667;6.0686
76;34790.2123148148;5.97021
77;34790.212349537;5.8424
78;34790.2123958333;5.73589
79;34790.2124305556;5.69454
80;34790.2124768519;5.62577
81;34790.2125115741;5.56062
82;34790.2125347222;5.49088
83;34790.2125694444;5.45837
84;34790.2126157407;5.42728
85;34790.2126388889;5.39262
85.465;34790.2126967593;5.37502
1.325;34838.1037615741;5.7469
2.017;34838.1037847222;5.7469
3.01;34838.1038078704;5.7473
4.03;34838.1038657407;5.749
5.037;34838.1038888889;5.7501
5.972;34838.1039236111;5.7502
6.926;34838.1039699074;5.7493
8.026;34838.1040046296;5.7473
9.056;34838.1040509259;5.7463
10.008;34838.1040856481;5.7447
10.948;34838.1041087963;5.7405
11.924;34838.1041435185;5.7385
13.078;34838.1041898148;5.7383
14.065;34838.104224537;5.7385
14.983;34838.1042708333;5.7385
15.922;34838.1043055556;5.7382
17.016;34838.1043287037;5.7315
17.871;34838.104375;5.7272
18.927;34838.1044097222;5.7272
20.044;34838.1044444444;5.729
21.145;34838.1044907407;5.731
21.926;34838.1045138889;5.7329
22.91;34838.1045486111;5.7364
24.097;34838.1045949074;5.7497
24.894;34838.1046296296;5.7636
25.951;34838.1046759259;5.7767
27.047;34838.1047106481;5.7817
27.954;34838.1047337963;5.782
28.906;34838.1047685185;5.7818
30.053;34838.1048148148;5.7801
31.022;34838.104849537;5.7784
31.999;34838.1048958333;5.7768
32.928;34838.1049305556;5.772
34.045;34838.1049537037;5.763
35.109;34838.1050115741;5.7507
36.025;34838.1050347222;5.7361
36.898;34838.1050578704;5.726
37.887;34838.1050925926;5.715
39.049;34838.1051388889;5.7087
39.884;34838.1051736111;5.6952
40.885;34838.1052199074;5.6666
42.02;34838.1052546296;5.6391
43.079;34838.1053009259;5.5886
44.008;34838.1053356481;5.5619
44.907;34838.1053587963;5.5251
45.9;34838.1053935185;5.4575
47.011;34838.1054398148;5.3686
48.16;34838.105474537;4.8395
49.145;34838.1055208333;4.3857
50.017;34838.1055555556;4.3038
51.097;34838.1055787037;4.2604
52.095;34838.105625;4.2231
52.982;34838.1056597222;4.1707
53.843;34838.1056828704;4.134
55.021;34838.1057407407;4.1929
56.125;34838.1057638889;4.343
56.97;34838.1057986111;4.4587
57.917;34838.1058217593;4.4817
59.034;34838.1058796296;4.4921
60.03;34838.1059027778;4.5043
60.99;34838.1059375;4.5205
61.918;34838.1059837963;4.5374
62.905;34838.1060185185;4.5567
64.031;34838.1060416667;4.6505
65.116;34838.106099537;4.811
65.821;34838.1061226852;4.8429
66.94;34838.1061458333;5.0202
68.13;34838.1062037037;5.2339
69.081;34838.1062268519;5.2547
69.929;34838.1062615741;5.3382
70.935;34838.1063078704;5.5705
72.053;34838.1063425926;5.7374
73.079;34838.1063888889;5.825
74.003;34838.106400463;5.8995
74.911;34838.1064467593;5.9429
75.997;34838.1064699074;5.9592
77.214;34838.1065277778;5.9523
77.965;34838.1065509259;5.9333
78.94;34838.1065856482;5.9085
80.016;34838.1066319444;5.8632
81.008;34838.1066666667;5.7674
81.983;34838.1066898148;5.5927
82.871;34838.106724537;5.5335
83.96;34838.1067708333;5.5316
85.058;34838.106875;5.5289
85.95;34838.1069097222;5.5264
86.563;34838.1069675926;5.5367
4.078;34838.2665625;5.7972
5.036;34838.2666087963;5.7961
6.009;34838.2666435185;5.7815
7.026;34838.2666666667;5.7587
8.026;34838.266712963;5.7542
8.973;34838.2667476852;5.7427
9.987;34838.2667708333;5.7334
11.133;34838.2668287037;5.7302
12.067;34838.2668518519;5.7301
12.99;34838.2668865741;5.74
13.982;34838.2669328704;5.7489
14.914;34838.2669675926;5.7501
15.86;34838.2669907407;5.7456
16.92;34838.2670486111;5.7433
17.912;34838.2670717593;5.7445
19.022;34838.2671064815;5.7568
20.033;34838.2671527778;5.7576
20.823;34838.2671875;5.7522
22.019;34838.2672337963;5.7227
23.042;34838.2672685185;5.7136
23.875;34838.2672916667;5.7092
25.005;34838.267337963;5.6979
26.001;34838.2673726852;5.6881
27.107;34838.2674189815;5.679
27.969;34838.2674537037;5.6782
28.996;34838.2674768519;5.6774
29.914;34838.2675115741;5.6766
30.847;34838.2675578704;5.6739
31.912;34838.2675925926;5.6712
33.118;34838.2676388889;5.6612
34.117;34838.2676736111;5.6565
34.975;34838.2676967593;5.656
36.007;34838.2677314815;5.6519
37.096;34838.2677777778;5.6444
37.99;34838.2678125;5.6212
38.973;34838.2678587963;5.5061
39.99;34838.2678935185;5.3201
40.833;34838.2679166667;5.194
41.936;34838.267962963;5.0141
43.08;34838.2679976852;4.5208
44.052;34838.2680439815;4.2662
44.941;34838.2680787037;4.2255
45.919;34838.2681018518;4.1531
46.911;34838.2681365741;4.119
48.131;34838.2681828704;4.0815
49.119;34838.2682175926;4.0536
50.059;34838.2682638889;4.0483
50.894;34838.2682986111;4.0459
51.884;34838.2683217593;4.0304
53.005;34838.2683564815;4.022
54.136;34838.2684027778;4.0704
55.009;34838.2684375;4.1979
56.012;34838.2684837963;4.351
56.971;34838.2685185185;4.4651
57.993;34838.2685416667;4.4739
58.988;34838.268587963;4.5107
59.93;34838.2686226852;4.5686
60.949;34838.2686458333;4.6083
62.097;34838.2686805556;4.6443
63.119;34838.2687268518;4.7153
64.099;34838.2687615741;4.8976
65.032;34838.2688078704;5.4125
66.053;34838.2688425926;5.8294
66.925;34838.2688657407;5.8625
67.845;34838.2688888889;5.4169
68.919;34838.2689467593;5.1812
70.057;34838.2689699074;5.5467
71.088;34838.2690046296;5.6467
72.027;34838.2690509259;5.7457
73.053;34838.2690856481;5.8566
73.91;34838.2691087963;5.912
74.988;34838.2691435185;5.9294
76.065;34838.2691898148;5.9339
77.049;34838.269224537;5.945
77.959;34838.2692476852;5.9449
78.892;34838.2692939815;5.9443
79.981;34838.2693287037;5.9315
81.081;34838.269375;5.8591
82.022;34838.2694097222;5.6745
82.984;34838.2694328704;5.5593
83.918;34838.2694675926;5.5483
84.826;34838.2694907407;5.5442
86.024;34838.2695486111;5.5392
87.175;34838.2695949074;5.529
87.509;34838.2695949074;5.5268
1.212;34838.3690277778;5.9943
2.04;34838.3690625;5.9546
3.007;34838.3690856481;5.8896
3.993;34838.3691319444;5.8589
4.986;34838.3691666667;5.8284
5.997;34838.3691898148;5.7984
7.006;34838.369224537;5.7806
8.003;34838.3692708333;5.7695
9.024;34838.3693055556;5.7637
9.996;34838.3693518518;5.7565
10.995;34838.3693865741;5.752
12.038;34838.3694097222;5.7506
13.074;34838.3694675926;5.7498
13.992;34838.3694907407;5.7494
14.916;34838.369525463;5.7479
15.922;34838.3695717593;5.7456
17.14;34838.3696064815;5.7417
18.004;34838.3696296296;5.7411
18.938;34838.3696759259;5.7405
20.146;34838.3697106481;5.7377
20.93;34838.3697569444;5.7368
22.03;34838.3697916667;5.7358
23.057;34838.3698148148;5.7341
24.024;34838.369849537;5.7319
25.028;34838.3698958333;5.7301
25.88;34838.3699305556;5.7281
27.016;34838.3699768518;5.7263
28.155;34838.3700115741;5.7246
28.999;34838.3700347222;5.7235
30.051;34838.3700694444;5.7212
31.005;34838.3701157407;5.72
31.989;34838.3701388889;5.7195
32.991;34838.3701967593;5.7165
33.883;34838.3702199074;5.7083
34.99;34838.3702546296;5.6863
35.902;34838.3703009259;5.6513
36.988;34838.3703356481;5.6322
38.077;34838.3703819444;5.6262
38.991;34838.3703935185;5.6063
39.77;34838.3704398148;5.5887
41.031;34838.370474537;5.4042
41.829;34838.3704976852;5.2908
42.992;34838.3705555556;5.1459
43.812;34838.3705787037;5.0598
45.037;34838.370625;4.8785
45.971;34838.3706597222;4.7545
47.019;34838.3706828704;4.5674
47.757;34838.3707175926;4.3705
49.075;34838.3707638889;4.2915
49.766;34838.3707986111;4.268
51.043;34838.3708449074;4.1473
51.765;34838.3708564815;4.1455
53.052;34838.3709027778;4.0717
53.85;34838.3709375;4.0755
55.008;34838.3709837963;4.1569
55.914;34838.3710185185;4.3138
57.184;34838.3710648148;4.4353
57.845;34838.371087963;4.4517
59.06;34838.3711226852;4.5236
59.868;34838.3711458333;4.5437
61.13;34838.3712037037;4.5697
61.898;34838.3712268519;4.6098
63.069;34838.3712615741;4.8351
63.95;34838.3713078704;5.3825
65.123;34838.3713425926;6.0278
66.001;34838.3713657407;6.0957
67.124;34838.3714236111;6.1343
68.004;34838.3714467593;6.1382
69.157;34838.3714814815;6.1116
69.95;34838.3715046296;5.8489
71.126;34838.3715625;5.7002
72.028;34838.3715856482;5.6912
73.005;34838.3716087963;5.7482
74.063;34838.3716666667;5.9603
74.811;34838.3716898148;5.9702
75.983;34838.371724537;5.9733
76.971;34838.3717708333;5.9717
78.006;34838.3718055556;5.9577
78.976;34838.3718287037;5.9358
80.028;34838.371875;5.8349
80.914;34838.3718865741;5.6193
81.975;34838.3719328704;5.5554
82.883;34838.3719675926;5.5442
84.14;34838.3720138889;5.5363
84.932;34838.3720486111;5.5344
85.999;34838.3720717593;5.5329
87.02;34838.3721064815;5.5319
87.769;34838.3721296296;5.5314
1.396;34838.4250347222;6.1065
2.019;34838.4250578704;6.1674
3.023;34838.4250925926;6.2101
3.994;34838.4251388889;6.2132
5.008;34838.4251736111;6.2105
5.999;34838.4251967593;6.0524
6.988;34838.4252314815;5.8321
7.981;34838.4252777778;5.8069
8.993;34838.4253125;5.7921
9.922;34838.4253356481;5.7884
10.969;34838.4253819444;5.785
11.931;34838.4254166667;5.7822
13.039;34838.425462963;5.7765
14.077;34838.4254976852;5.7755
14.969;34838.4255208333;5.7735
15.957;34838.4255555556;5.7676
17.051;34838.4256018518;5.7579
18.004;34838.4256365741;5.7545
19;34838.4256597222;5.7442
19.973;34838.4256944444;5.7361
20.938;34838.4257407407;5.7298
22.016;34838.4257638889;5.7175
23.071;34838.4258217593;5.71
24.035;34838.4258449074;5.7007
24.891;34838.4258796296;5.6956
25.97;34838.4259259259;5.6929
26.961;34838.4259606482;5.6896
28.158;34838.4260069444;5.6771
28.984;34838.4260185185;5.6656
29.905;34838.4260648148;5.653
31.004;34838.426099537;5.6375
32.045;34838.4261226852;5.6228
32.972;34838.4261689815;5.602
34.006;34838.4262037037;5.5819
34.979;34838.4262268519;5.5551
36.018;34838.4262847222;5.5363
36.997;34838.4263078704;5.4763
38.004;34838.4263425926;5.4366
38.988;34838.4263888889;5.4091
39.946;34838.4264236111;5.3716
40.979;34838.4264467593;5.3129
42.031;34838.4264814815;5.1877
43.021;34838.4265277778;5.0758
43.97;34838.4265625;4.9897
45.034;34838.4265856482;4.8804
46.099;34838.4266435185;4.7057
46.987;34838.4266666667;4.4153
48.051;34838.426712963;4.3204
49.002;34838.4267476852;4.2762
