depth;datetime;value
1.4;34741.8586226852;7.33
6.6;34741.8586226852;7.33
11.5;34741.8586226852;7.33
16.6;34741.8586226852;7.33
21.8;34741.8586226852;7.33
31.7;34741.8586226852;7.33
42;34741.8586226852;7.33
52.2;34741.8586226852;7.34
62.3;34741.8586226852;7.56
72.4;34741.8586226852;9.04
82.5;34741.8586226852;9.64
88.8;34741.8586226852;10.47
2.2;34745.5037847222;7.31
6.9;34745.5037847222;7.31
11;34745.5037847222;7.31
16.6;34745.5037847222;7.31
21.7;34745.5037847222;7.31
32.4;34745.5037847222;7.31
41.4;34745.5037847222;7.31
52;34745.5037847222;7.32
62.3;34745.5037847222;7.32
72.1;34745.5037847222;7.46
82.2;34745.5037847222;9.04
89;34745.5037847222;9.86
1.1;34789.1912847222;7.35
5.6;34789.1915046296;7.37
10.2;34789.1916435185;7.41
15.8;34789.1918865741;7.42
20.7;34789.1920717593;7.42
30.5;34789.1924189815;7.42
41;34789.1928356482;7.42
50.7;34789.1932175926;7.42
61.2;34789.193587963;7.53
70.8;34789.1939699074;7.92
81.2;34789.1943518519;9.66
86.7;34789.1945717593;9.85
1.5;34837.3759606481;7.19
6.9;34837.3762037037;7.2
11.2;34837.3763425926;7.2
16.5;34837.3765046296;7.2
21.7;34837.376724537;7.2
31.8;34837.3770949074;7.21
41.9;34837.3774537037;7.25
52;34837.3778125;7.36
62.1;34837.3781828704;7.44
72.2;34837.3785648148;7.68
82.4;34837.3789236111;8.96
88.2;34837.3791087963;9.91
1.155;34922.363900463;7.1537
5.144;34922.3640277778;7.1549
10.235;34922.364212963;7.1556
15.303;34922.3643865741;7.1463
20.247;34922.3645717593;7.0892
30.18;34922.3649305556;7.1326
40.315;34922.3652777778;7.2377
50.075;34922.3656365741;7.3541
60.292;34922.3659837963;7.4477
70.265;34922.3663194444;7.5614
80.266;34922.3666435185;8.2399
85.913;34922.3668865741;9.9952
2.369;35113.2681944444;7.2781
5.445;35113.2683564815;7.2779
10.558;35113.2685648148;7.2778
15.469;35113.2687847222;7.2779
20.549;35113.2690046296;7.2779
30.489;35113.2693865741;7.2777
40.621;35113.2698148148;7.2781
