depth;datetime;value
1.122;34741.8588888889;3.1445
2;34741.8589467593;3.1435
2.938;34741.8589699074;3.1423
3.987;34741.8590277778;3.1427
4.996;34741.8590509259;3.1429
6.002;34741.8590856481;3.1436
7.029;34741.8591087963;3.1472
8.005;34741.8591435185;3.1526
9;34741.8591898148;3.1527
10.008;34741.859212963;3.1528
10.933;34741.8592476852;3.1529
11.99;34741.8592708333;3.1542
13.02;34741.8593055556;3.1553
13.992;34741.8593287037;3.1562
14.887;34741.859375;3.1586
16.052;34741.8594097222;3.1671
16.889;34741.8594328704;3.1684
17.999;34741.8594675926;3.17
19.058;34741.8594907407;3.1702
19.959;34741.8595138889;3.1707
21.046;34741.8595486111;3.1717
22.064;34741.8595949074;3.1748
23.014;34741.8596064815;3.1778
23.991;34741.8596527778;3.1792
25.027;34741.8596875;3.1798
26.18;34741.8597106481;3.1801
26.765;34741.8597337963;3.1804
27.99;34741.8597685185;3.1841
29.108;34741.8598148148;3.1884
29.986;34741.859837963;3.1892
31.222;34741.8598726852;3.1901
31.984;34741.8598958333;3.1904
33.039;34741.8599305556;3.1908
33.868;34741.8599537037;3.1909
35.038;34741.86;3.191
35.927;34741.8600115741;3.1911
36.994;34741.8600578704;3.1913
38.105;34741.8600925926;3.1913
38.998;34741.8601157407;3.1914
40.24;34741.860150463;3.1918
40.844;34741.8601736111;3.1929
42.046;34741.8601967593;3.1932
42.832;34741.8602199074;3.1934
43.97;34741.8602546296;3.1938
45.207;34741.8603125;3.1961
45.995;34741.8603356481;3.1981
47.049;34741.8603587963;3.2009
48.006;34741.8603935185;3.2035
48.959;34741.8604166667;3.2048
49.977;34741.8604398148;3.2163
51.014;34741.860474537;3.2391
51.86;34741.8604976852;3.2717
53.02;34741.8605555556;3.3107
54.01;34741.8605787037;3.3465
55.124;34741.8606018519;3.3766
55.881;34741.8606365741;3.4174
56.962;34741.8606597222;3.4975
58.046;34741.8606944444;3.5337
58.969;34741.8607407407;3.5488
59.946;34741.8607638889;3.5761
61.073;34741.8607986111;3.6331
61.965;34741.8608217593;3.7307
63.014;34741.8608449074;3.8904
64.004;34741.8608796296;3.9944
65.038;34741.8609259259;4.0765
65.918;34741.8609375;4.1433
66.997;34741.8609837963;4.1904
68.087;34741.8610185185;4.2267
69.006;34741.8610416667;4.2652
70.138;34741.861087963;4.2892
70.883;34741.861099537;4.3038
71.995;34741.8611226852;4.3513
73.087;34741.8611689815;4.383
73.922;34741.8612037037;4.3932
75.009;34741.8612268519;4.4308
75.89;34741.8612615741;4.4598
76.982;34741.8612847222;4.4838
78.144;34741.8613194444;4.5223
78.897;34741.8613425926;4.5374
80.026;34741.8613888889;4.549
80.947;34741.861400463;4.5717
82.135;34741.8614467593;4.5987
83.005;34741.8614699074;4.621
83.922;34741.8615046296;4.638
85.052;34741.8616319444;4.7152
85.98;34741.861724537;4.8802
87.038;34741.861875;4.9706
87.635;34741.8620138889;4.9939
4.16;34745.5043055556;3.0452
4.939;34745.504375;3.0453
5.999;34745.5044097222;3.0441
7.082;34745.5044675926;3.0436
8.039;34745.5044907407;3.0437
9;34745.5045138889;3.0439
10.03;34745.5045486111;3.0441
10.997;34745.5045949074;3.0443
12.097;34745.5046064815;3.0445
12.994;34745.5046527778;3.0446
14.007;34745.5046875;3.0448
14.891;34745.5047106482;3.045
16.071;34745.5047569444;3.0453
17.046;34745.5047685185;3.0453
18.115;34745.5048148148;3.0453
18.932;34745.504837963;3.0453
20.026;34745.5048726852;3.0452
21.017;34745.5048958333;3.0451
21.986;34745.5049305556;3.0449
22.765;34745.5049537037;3.0443
24.023;34745.505;3.0425
25.114;34745.5050347222;3.0425
26.005;34745.5050578704;3.0422
27.146;34745.5050925926;3.0373
27.817;34745.5051157407;3.0363
29.05;34745.505150463;3.0363
29.911;34745.5051736111;3.0367
30.962;34745.5052199074;3.0385
32.006;34745.5052546296;3.0392
32.986;34745.5053009259;3.0396
33.977;34745.5053125;3.0392
34.992;34745.5053587963;3.0385
36.011;34745.5053935185;3.0375
37.03;34745.5054166667;3.0366
37.986;34745.5054398148;3.0361
39.153;34745.5054976852;3.0371
40.011;34745.5055208333;3.0373
41.097;34745.5055555556;3.0358
42.022;34745.5055787037;3.0328
43.102;34745.505625;3.0327
43.917;34745.5056365741;3.034
45.099;34745.5056828704;3.0353
45.828;34745.5056944444;3.0355
47.049;34745.5057407407;3.0351
48.058;34745.5057638889;3.0287
48.988;34745.5057986111;3.0248
49.999;34745.5058217593;3.023
51.193;34745.5058564815;3.0216
51.963;34745.5058796296;3.0216
53.113;34745.5059375;3.0219
54.012;34745.5059375;3.0222
55.135;34745.5060069444;3.0227
55.975;34745.5060185185;3.0226
57.066;34745.5060648148;3.0219
57.917;34745.5060648148;3.022
59.152;34745.5061226852;3.0221
59.976;34745.5061458333;3.0221
60.926;34745.5061805556;3.0221
62.205;34745.5062268519;3.0222
62.973;34745.5062268519;3.0223
64.08;34745.5062847222;3.0234
64.967;34745.5062847222;3.0245
66.031;34745.5063425926;3.0272
66.811;34745.5063657407;3.0302
68.003;34745.506400463;3.0745
69.008;34745.5064236111;3.1382
