depth;datetime;value
1.349;34834.8325925926;4.1304
1.984;34834.8326967593;4.1308
3.068;34834.8327546296;4.1312
3.977;34834.8327777778;4.1315
4.982;34834.8328125;4.1318
6.036;34834.8328587963;4.1321
7.126;34834.8328935185;4.1324
7.955;34834.8329166667;4.1324
8.995;34834.832962963;4.1324
10.026;34834.8329976852;4.1322
10.818;34834.8330208333;4.1321
12.014;34834.8330555556;4.1336
13.02;34834.8331018519;4.1351
13.994;34834.8331365741;4.136
14.994;34834.8331597222;4.1359
16.068;34834.8332175926;4.1318
16.89;34834.8332175926;4.1318
17.948;34834.8332638889;4.1313
18.958;34834.8332986111;4.1285
20.009;34834.8333449074;4.1198
21.034;34834.8333796296;4.1076
21.978;34834.8334027778;4.088
23.022;34834.8334606482;3.9629
24.005;34834.8334837963;3.9486
25.005;34834.8335185185;3.9337
26.038;34834.8335648148;3.9135
27.015;34834.833587963;3.9091
28.001;34834.8336226852;3.9037
29.055;34834.8336689815;3.8913
29.997;34834.8336805556;3.8813
30.961;34834.8337268519;3.8693
31.954;34834.8337615741;3.8649
33.025;34834.8338078704;3.8513
34.029;34834.8338194444;3.8333
34.889;34834.8338657407;3.8115
36.007;34834.8338888889;3.8069
37.086;34834.8339236111;3.8071
37.807;34834.8339467593;3.8169
39.053;34834.8340046296;3.8225
39.859;34834.8340277778;3.8153
41.043;34834.8340625;3.8048
41.95;34834.8340856481;3.8027
43;34834.8341319444;3.8023
44.022;34834.8341666667;3.8023
44.918;34834.8341898148;3.8024
45.979;34834.834224537;3.8026
47.051;34834.8342708333;3.8069
48.028;34834.8343055556;3.8044
2.393;35013.6963657407;7.8935
3.151;35013.6965625;7.8943
4.01;35013.6966087963;7.8918
5.133;35013.6966435185;7.8893
6.013;35013.6966666667;7.889
6.994;35013.696712963;7.8909
8.028;35013.696724537;7.8948
8.956;35013.6967708333;7.896
10.029;35013.6968055556;7.8975
11.002;35013.6968287037;7.8978
12.002;35013.6968518519;7.8984
12.966;35013.6968865741;7.9004
14.13;35013.6969097222;7.9057
14.862;35013.6969328704;7.9069
16.018;35013.6969675926;7.9107
16.999;35013.6970138889;7.9161
18.031;35013.697025463;7.9328
18.904;35013.6970486111;7.935
20.081;35013.6970949074;7.936
21.002;35013.6971296296;7.9373
22.038;35013.6971527778;7.9391
22.998;35013.6971875;7.9413
23.851;35013.6972106481;7.942
25.067;35013.6972337963;7.9422
26.01;35013.6972685185;7.9421
26.957;35013.6972916667;7.9415
28.019;35013.6973148148;7.9406
28.774;35013.697349537;7.9394
30.009;35013.6973958333;7.9356
31.031;35013.6974189815;7.9329
31.928;35013.6974305556;7.9304
32.97;35013.6974768518;7.9243
33.832;35013.6975;7.9149
34.998;35013.6975347222;7.9077
36.04;35013.6975578704;7.9
36.989;35013.6975925926;7.8785
37.861;35013.6976157407;7.8208
39.036;35013.6976388889;7.7788
40.136;35013.6976736111;7.7428
40.956;35013.6976967593;7.7351
42.008;35013.6977199074;7.7287
42.997;35013.6977546296;7.72
