depth;datetime;value
5.1;34738.6925115741;8.44
6.2;34738.6925115741;8.44
11.9;34738.6925115741;8.43
17;34738.6925115741;8.44
20.9;34738.6925115741;8.45
31.5;34738.6925115741;8.72
37.4;34738.6925115741;9.37
42.2;34738.6925115741;13.86
45.1;34738.6925115741;15.95
10.8;34782.6713657407;8.17
16.1;34782.6715046296;8.17
20.7;34782.6716435185;8.18
31;34782.6719097222;8.18
36;34782.6720486111;8.24
41.5;34782.6721875;14.64
46.4;34782.672337963;17.950001
2;34841.6239699074;8.33
6.5;34841.6241666667;8.33
11.4;34841.6243287037;8.33
16.5;34841.6245138889;8.33
21.5;34841.6246875;8.34
31.7;34841.6250925926;8.4
36.7;34841.6252546296;8.46
41.8;34841.6254398148;8.95
46.5;34841.6256365741;13.35
0.876;34918.2094328704;7.7169
5.205;34918.2095949074;7.7167
10.244;34918.2097685185;7.714
15.302;34918.2099305556;7.7121
20.172;34918.2101157407;7.7953
30.272;34918.210474537;8.2413
35.221;34918.2106597222;8.3562
40.206;34918.2108217593;11.0561
45.829;34918.2109837963;11.7452
1.877;35002.6673148148;7.5175
5.186;35002.6674189815;7.5146
10.215;35002.6675694444;7.5145
15.175;35002.6677546296;7.5268
20.182;35002.6679398148;7.5493
30.211;35002.668275463;7.6813
35.208;35002.6684606482;16.5872
40.212;35002.6686226852;17.361601
45.807;35002.6688078704;19.474199
1.407;35109.9850578704;7.6909
5.497;35109.9851967593;7.6909
10.556;35109.9853587963;7.6906
15.559;35109.9855439815;7.6907
20.45;35109.9857175926;7.6911
30.524;35109.9860648148;7.6922
35.464;35109.9862268519;7.7227
40.502;35109.9863888889;15.3307
46.247;35109.9865856481;17.949699
1.441;35149.1347106481;7.7315
4.847;35149.1348958333;7.7339
9.843;35149.1350925926;7.7328
14.776;35149.1353009259;7.804
19.869;35149.1354976852;7.8822
29.914;35149.1358796296;10.3349
34.827;35149.136087963;11.7689
39.746;35149.1362615741;12.7965
45.066;35149.1369675926;13.4361
1.005;35198.4946296296;7.5561
5.163;35198.4947916667;7.5756
10.141;35198.4949768518;7.7192
15.115;35198.4951736111;7.8102
20.094;35198.4953587963;7.9217
30.097;35198.4957175926;10.3853
35.14;35198.4958796296;12.6064
40.063;35198.4960648148;15.603
45.457;35198.4963425926;16.4795
5.21;35282.7735069444;7.369
15.19;35282.7735069444;7.322
35.17;35282.7735069444;10.742
1.52;35282.7736458333;7.368
10.14;35282.7740046296;7.365
20.14;35282.7743865741;7.559
30.18;35282.7747569444;8.875
40.16;35282.7751388889;12.821
46.37;35282.7753587963;16.224001
3.02;35369.2724189815;7.47
5.73;35369.2725115741;7.472
10.49;35369.2726967593;7.472
15.6;35369.2728819444;7.471
20.44;35369.2730555556;7.474
30.46;35369.2734027778;13.037
35.34;35369.2735648148;13.999
40.38;35369.2737615741;14.342
43.94;35369.2739467593;14.931
5.25;35469.5735185185;8.01
10.26;35469.5737037037;8.007
15.31;35469.5738425926;8.006
20.36;35469.5739699074;8.004
30.36;35469.574224537;8.012
35.28;35469.574375;11.584
40.2;35469.5744907407;14.682
2.52;35471.9774189815;7.935
5.54;35471.9774768519;7.942
10.63;35471.9776388889;7.936
15.58;35471.9778356481;7.937
20.55;35471.977974537;7.936
30.52;35471.9782638889;8.148
35.53;35471.9784027778;10.786
40.51;35471.978599537;13.671
45.77;35471.9788657407;15.754
2.9;35483.8660185185;7.89
5.36;35483.8660185185;7.886
10.65;35483.86625;7.889
15.31;35483.8663888889;7.892
20.37;35483.8665625;7.889
30.37;35483.8668865741;13.645
35.41;35483.8670486111;16.09
40.39;35483.8672337963;16.35
46.38;35483.8674537037;17.431999
2.35;35513.2367708333;7.579
5.32;35513.2369328704;7.579
10.38;35513.2371875;7.58
15.4;35513.2374305556;7.582
20.39;35513.2376967593;7.583
30.36;35513.2381828704;7.602
35.27;35513.2384375;12.258
39.62;35513.2387037037;14.105
45.34;35513.2389467593;18.360001
1.9;35555.1350925926;7.762
5.58;35555.1352199074;7.77
10.52;35555.1354398148;7.783
15.51;35555.1356018518;7.804
20.52;35555.1358449074;7.841
30.55;35555.1362037037;8.48
35.5;35555.1364236111;13.387
40.49;35555.1365856481;15.269
45.39;35555.1367476852;16.246
1.04;35645.6285185185;7.299
4.92;35645.628599537;7.324
9.94;35645.6287037037;7.324
14.93;35645.6288194444;7.361
19.92;35645.6289236111;7.627
29.99;35645.6291435185;7.984
34.97;35645.6292708333;8.892
40.01;35645.6293865741;9.188
46.65;35645.6294675926;14.331
2.12;35731.0212037037;7.734
5.55;35731.0213425926;7.734
10.52;35731.0215277778;7.77
15.52;35731.021712963;8.074
20.56;35731.0219097222;8.262
30.51;35731.0222685185;8.984
35.49;35731.0224537037;14.161
40.5;35731.0226388889;16.733
47.3;35731.0228935185;18.379
1.92;35807.4105555556;7.205
5.79;35807.4106597222;7.205
10.71;35807.4108217593;7.22
15.71;35807.4109837963;7.914
20.82;35807.4111458333;7.97
30.7;35807.4114699074;8.487
35.8;35807.4116319444;10.391
40.79;35807.4117708333;16.761999
46.28;35807.4119328704;17.555
1.3;35839.7165856482;7.628
5.39;35839.7167476852;7.628
10.32;35839.7168865741;7.629
15.34;35839.7170486111;7.63
20.28;35839.7171875;7.629
30.38;35839.7175;8.358
35.29;35839.717650463;11.398
40.26;35839.7178356481;13.179
46.22;35839.7180208333;16.66
1.58;35879.1165046296;7.356
5.22;35879.1166087963;7.354
10.21;35879.1167939815;7.355
15.19;35879.1169675926;7.367
20.16;35879.1171527778;7.386
30.19;35879.1174884259;8.816
35.28;35879.1176736111;9.747
40.23;35879.1178356481;12.035
46.57;35879.1180555556;15.543
0.88;35924.6247916667;7.353
5.5;35924.6249305556;7.355
10.5;35924.6250925926;7.364
15.53;35924.6252546296;7.4
20.41;35924.6254398148;7.461
30.51;35924.6257638889;7.846
35.49;35924.6259375;10.726
40.5;35924.6261226852;12.068
46.92;35924.6263425926;16.041
0.97;36009.5937615741;7.144
10.04;36009.5941666667;7.171
1;36011.696400463;7.173
5.11;36011.6965856481;7.173
10.12;36011.6968055556;7.172
14.85;36011.6970138889;7.173
20.15;36011.6972337963;7.193
30.06;36011.6976736111;7.408
35.07;36011.6978935185;9.127
40.04;36011.6981018518;12.913
46.15;36011.6983449074;16.882999
1.24;36100.2121064815;8.546
10.42;36100.2124768519;8.562
0.92;36102.8966087963;8.739
5.32;36102.8966435185;8.739
10.35;36102.8968287037;8.739
15.4;36102.8970138889;8.739
20.56;36102.8972337963;8.741
30.38;36102.8975578704;9.379
35.44;36102.8977314815;11.019
40.45;36102.8979166667;12.188
1.55;36170.6466435185;7.528
4.98;36170.6468287037;7.521
9.86;36170.6469675926;7.549
14.89;36170.6471296296;7.555
19.88;36170.6472685185;7.609
29.88;36170.6475694444;8.858
34.97;36170.6477314815;12.245
39.87;36170.6478935185;14.539
45.68;36170.6480439815;16.173
1.19;36202.5182407407;7.534
4.92;36202.5183796296;7.528
9.9;36202.5185416667;7.53
14.86;36202.5187268518;7.591
19.89;36202.518900463;7.756
29.86;36202.5192476852;7.8
34.87;36202.5194328704;7.824
39.92;36202.5195949074;12.142
45.65;36202.5197916667;15.712
1.48;36202.934849537;7.465
4.86;36202.9349768519;7.465
9.89;36202.9351736111;7.465
14.86;36202.9353935185;7.481
19.88;36202.9356018519;7.613
29.86;36202.9360069444;7.783
34.89;36202.9362037037;7.857
39.84;36202.936400463;12.167
45.55;36202.9366087963;15.726
11.27;36240.0420717593;7.319
0.92;36242.7666666667;7.234
5.56;36242.7671064815;7.245
10.52;36242.7673148148;7.294
15.51;36242.7675115741;7.367
20.52;36242.7677314815;7.43
30.59;36242.7682175926;7.553
35.56;36242.7684027778;7.692
40.54;36242.768587963;10.381
46.08;36242.7689467593;15.716
1.6;36288.2373726852;7.38
10.27;36288.2376388889;7.37
2.11;36291.3402546296;7.475
5.03;36291.3403819444;7.476
10.2;36291.3405787037;7.476
15.22;36291.3407638889;7.474
20.09;36291.3409606482;7.474
30.17;36291.3413425926;7.473
35.19;36291.3415277778;7.493
40.22;36291.341712963;8.03
45.51;36291.3419097222;14.572
0.94;36373.4128009259;7.238
6.29;36373.4129166667;7.289
10.3;36373.4130208333;7.292
1.19;36376.5486805556;7.017
5.36;36376.5488078704;7.046
10.34;36376.5489699074;7.256
15.39;36376.5491087963;7.565
20.38;36376.5492708333;7.601
30.36;36376.5495949074;8.643
35.41;36376.5497337963;10.723
40.37;36376.5498958333;13.657
2.066;34704.7816319444;8.68031
3;34704.7816435185;8.66474
4;34704.7816898148;8.66428
5;34704.781724537;8.66578
6;34704.7817476852;8.6687
7;34704.7817939815;8.6649
8;34704.7818287037;8.66306
9;34704.7818518519;8.66313
10;34704.7818865741;8.66527
11;34704.7819097222;8.66925
12;34704.7819444444;8.6603
13;34704.7819907407;8.67353
14;34704.7820138889;8.67001
15;34704.7820486111;8.67741
16;34704.7820949074;8.68014
17;34704.7821296296;8.67327
18;34704.7821527778;8.68051
19;34704.7821875;8.68022
20;34704.7822106481;8.70429
21;34704.7822569444;8.72141
22;34704.7822916667;8.73978
23;34704.7823148148;8.76159
24;34704.782349537;8.84128
25;34704.7823958333;8.92635
26;34704.7824305556;8.9635
27;34704.7824537037;9.06655
28;34704.7825;9.11844
29;34704.7825115741;9.13872
30;34704.7825578704;9.18126
31;34704.7825925926;9.30335
32;34704.7826157407;9.40736
33;34704.782650463;9.50636
34;34704.7826967593;9.66277
35;34704.7827199074;10.5912
36;34704.7827546296;11.7982
37;34704.7828009259;13.0743
38;34704.7828125;13.8413
39;34704.7828587963;14.6607
40;34704.7828935185;15.1597
41;34704.7829166667;15.7789
42;34704.782962963;16.534
43;34704.7829976852;17.174101
44;34704.7830208333;17.288601
45;34704.7830555556;17.4461
45.454;34704.7831018519;17.5723
